ANG,LOV,JOY,SAD,ARO,VAL,DOM,MOD,IND,IMP,CON,SUB,POL,NEG,POS,EXP_COR,EXP_SPO,EXP_BN,EXP_QUIT,EXP_SEN,radioSilence,missingLinks,orgSilo,smelly,quitter,project
0,0.5,0,0.5,1.2791944,1.87756655,1.9110299,0.5375,1,0,0,0,1,0,0.2375,0,0,2,0,66.5,0,0,0,0,0,OFBiz
0,0.5,0,0.5,1.27565475,1.8961011,2.0303274,-0.15,1,0,0,0,1,0,0.321428565,0,0,0,0,42.5,0,0,0,0,0,Hibernate ORM
0.002906977,0.238372093,0.052325581,0.081395349,0.796970363,1.240094541,1.223269687,0.619472965,0.718023256,0.029069767,0.252906977,0,0.473837209,-0.126141667,0.183112062,0,0,0,0,132.16839,1,1,1,1,0,OFBiz
0.008714597,0.235294118,0.032679739,0.183006536,0.793165109,1.172312045,1.162249915,0.702347712,0.786492375,0.030501089,0.178649237,0.004357298,0.444444444,-0.240852174,0.234749624,0,0,0,0,4.165577342,0,0,0,0,0,OFBiz
0,0,0,0.25,1.239712075,1.91847805,1.8390862,0.143995099,0.5,0,0.5,0,0.5,-0.375,0.155397727,0,0,0,0,36,0,0,0,0,0,Hibernate ORM
0.03539823,0.03539823,0.044247788,0.230088496,1.049342536,1.566296041,1.575058275,0.437040708,0.353982301,0.088495575,0.557522124,0,0.584070796,-0.148714706,0.173594231,0,0,0,0,66.65112015,0,0,0,0,0,OFBiz
0.011627907,0.11627907,0.081395349,0.244186047,0.891123652,1.340916833,1.326781561,0.536008388,0.569767442,0.046511628,0.38372093,0,0.639534884,-0.116051138,0.196492974,0,0,0,0,36.05063291,0,0,0,0,0,Wicket
0.028571429,0.016326531,0.044897959,0.304081633,0.972406971,1.44689088,1.452754386,0.494939746,0.534693878,0.040816327,0.424489796,0,0.404081633,-0.136967202,0.192660237,4,0,0,0,17.58505446,0,1,1,1,0,Wicket
0,0,0,0.1875,0.75701521,1.033901996,1.107343844,0.660375,0.4375,0.125,0.4375,0,0.375,-0.10642,0.1886,0,0,0,0,49.11607143,0,0,0,0,0,Hadoop Common
0.029958678,0.035640496,0.052169421,0.203512397,1.073078307,1.608983549,1.601364198,0.553932946,0.574380165,0.103822314,0.320247934,0.001549587,0.38481405,-0.203451051,0.239831782,13,0,0,0,98.43227468,0,1,1,1,0,Wicket
0,0.133333333,0.066666667,0.066666667,1.037249629,1.558837817,1.622372078,0.595173333,0.666666667,0,0.333333333,0,0.2,-0.119466667,0.43875,0,0,3,0,3.779487179,1,0,0,1,0,OFBiz
0,0.13,0.11,0.25,0.936014921,1.386055502,1.400415366,0.626268,0.54,0.06,0.4,0,0.57,-0.196981818,0.21305,0,0,0,0,36.00414763,0,0,0,0,0,Camel
0.01826484,0.100456621,0.0456621,0.150684932,1.096065659,1.695640104,1.656393962,0.607569968,0.662100457,0.086757991,0.251141553,0,0.429223744,-0.148111877,0.186198981,0,0,0,0,35.04403599,0,0,0,0,0,Wicket
0.016666667,0.366666667,0.166666667,0.366666667,0.842361592,1.226331193,1.235411094,0.601493333,0.7,0.05,0.25,0,0.633333333,-0.132608333,0.283389655,0,0,0,0,79.56666667,0,0,0,0,0,Hive
0.023076923,0.046153846,0.080769231,0.246153846,0.988073271,1.486557597,1.52568881,0.616638462,0.426923077,0.05,0.519230769,0.003846154,0.588461538,-0.095263636,0.222211268,0,0,0,0,143.5674385,0,1,1,1,0,Camel
0,1,0,0,1.32525,2.01175,1.91425,1,1,0,0,0,1,0,0.35,0,0,0,0,84,0,0,0,0,0,OFBiz
0.010869565,0.260869565,0.195652174,0.434782609,0.965698795,1.463862621,1.448617042,0.616361957,0.619565217,0.02173913,0.347826087,0.010869565,0.576086957,-0.194018182,0.236868421,0,0,0,0,3.32,1,0,0,1,0,Hadoop Common
0.017563956,0.021382207,0.045819015,0.239022528,0.778850338,1.13433825,1.133261619,0.594857847,0.711340206,0.043528064,0.241313478,0.003818251,0.202749141,-0.170933595,0.224683072,2,0,0,0,54.7317362,0,1,1,1,0,Cassandra
0.032670455,0.073863636,0.100852273,0.230113636,0.998746203,1.493320575,1.481046307,0.636069744,0.653409091,0.045454545,0.299715909,0.001420455,0.434659091,-0.18456755,0.231605152,0,0,9,0,93.04530092,1,0,0,1,0,Hadoop Common
0.032258065,0.096774194,0.032258065,0.290322581,0.882983898,1.251022344,1.242767799,0.647653226,0.838709677,0.016129032,0.14516129,0,0.387096774,-0.170464286,0.163525926,0,0,0,0,19.5125448,0,0,0,0,0,Hadoop Common
0.048,0.056,0.064,0.528,0.953629885,1.38700422,1.390310079,0.411868338,0.392,0.048,0.552,0.008,0.576,-0.11233303,0.140573259,0,0,0,0,55.02922306,0,0,0,0,0,Hibernate ORM
0,0.5,0,0.5,1.27565475,1.8961011,2.0303274,-0.15,1,0,0,0,1,0,0.321428565,0,0,0,0,37.5,0,1,1,1,0,Hibernate ORM
0,0.333333333,0,0.666666667,1.0962442,1.528247,1.618950767,0.412646207,0,0,1,0,1,-0.014204546,0.212445885,0,0,0,0,28.33333333,0,0,0,0,0,Hibernate ORM
0,0,0,1,1.41,1.8995833,1.8958334,0.75,0,0,1,0,0,0,0.0682,0,0,0,0,11,0,0,0,0,0,Hadoop Common
0,0,0,0.444444444,0.808025196,1.080656922,1.10671594,0.698875659,0.888888889,0,0.111111111,0,0.222222222,-0.15948413,0.134364483,0,0,0,0,49.77777778,0,0,0,0,0,Hibernate ORM
0.013157895,0.019736842,0.049342105,0.171052632,1.046415276,1.536335608,1.526634616,0.566271382,0.634868421,0.072368421,0.292763158,0,0.365131579,-0.161786765,0.208812037,0,0,0,0,15.12828947,0,0,0,0,0,Hive
0,0.04,0.08,0.2,0.958699209,1.449955781,1.453944301,0.577391108,0.6,0.08,0.32,0,0.2,-0.1125,0.197610043,0,0,0,0,19.33913043,0,0,0,0,0,Wicket
0.003841932,0.192096597,0.141602634,0.113062569,0.7588546,1.142404194,1.134918163,0.692078705,0.736004391,0.033479693,0.228320527,0.00219539,0.390779363,-0.188254762,0.282097505,11,0,0,0,64.02039007,0,1,1,1,0,Hive
0,0.266666667,0,0.133333333,0.876795263,1.315112177,1.309083487,0.796906667,0.533333333,0.333333333,0.133333333,0,0.466666667,-0.225,0.12715,0,0,0,0,45,0,0,0,0,0,OFBiz
0.2,0.2,0,0,1.44733434,2.14150542,2.1582837,0.34,0.8,0,0.2,0,0.4,0,0.075,0,0,0,0,26.6,0,0,0,0,0,Hadoop Common
0,0.001072386,0.021447721,0.055764075,0.891236484,1.382558923,1.337007178,0.647047936,0.795174263,0.024128686,0.180697051,0,0.597319035,-0.216070539,0.303029281,0,0,0,0,13.13887399,0,0,0,1,0,ZooKeeper
0.0625,0.375,0.125,0.75,0.915209081,1.376468724,1.373076699,0.48081875,0.5,0.0625,0.375,0.0625,0.5625,-0.09585,0.185881818,0,0,3,0,102.5,0,0,0,0,0,OFBiz
0,0,0.064516129,0.225806452,0.790596416,1.146833863,1.159359103,0.688087097,0.64516129,0.032258065,0.322580645,0,0.451612903,-0.22685,0.17066875,0,0,0,0,19.19354839,0,0,0,0,0,OFBiz
0.014492754,0.202898551,0.202898551,0.31884058,1.109288645,1.663519923,1.675114957,0.547911594,0.507246377,0.072463768,0.420289855,0,0.594202899,-0.189370588,0.17865,0,0,0,0,38.25098814,0,0,0,0,0,Hadoop Common
0,0,0,0.666666667,1.4420303,2.360515233,2.220757567,0.458333333,1,0,0,0,0.333333333,-0.5,0.475,0,0,0,0,41.33333333,0,0,0,0,0,OFBiz
0,0.25,0,0,0.8309351,1.22916665,1.23703725,0.425225,0.5,0.25,0.25,0,0.5,-0.5,0.328566667,0,0,0,0,9.75,0,0,0,0,0,OFBiz
0.007411631,0.288483466,0.123717218,0.188141391,0.908187476,1.321587367,1.333811312,0.626507013,0.714367161,0.08608894,0.196693273,0.002850627,0.521094641,-0.17139726,0.222555636,5,0,0,0,37.83999259,0,1,1,1,0,Hive
0.00729927,0.094890511,0.065693431,0.313868613,0.988418282,1.44438342,1.472905853,0.582371701,0.554744526,0.065693431,0.379562044,0,0.416058394,-0.160067959,0.192525419,0,1,0,1,52.97810219,0,0,0,0,0,Wicket
0.013157895,0.302631579,0.013157895,0.065789474,1.041755366,1.535965425,1.564219083,0.797097368,0.815789474,0.013157895,0.171052632,0,0.381578947,-0.106857143,0.181177778,0,0,0,0,76.32017544,0,0,0,0,0,OFBiz
0,0,0.111111111,0.666666667,0.941831191,1.300263389,1.318869222,0.380161412,0.444444444,0,0.555555556,0,0.555555556,-0.084375,0.187693298,0,0,0,1,55.11111111,0,0,0,0,0,Hibernate ORM
0,0.333333333,0,0.333333333,0.859615367,1.267649567,1.285564067,0.356466667,0,0.333333333,0.666666667,0,0.666666667,0,0.12655,0,0,0,0,19.66666667,0,0,0,0,0,Hadoop Common
0,0.05,0,0,0.562257315,0.874135329,0.844889006,0.816345,1,0,0,0,0.35,-0.08255,0.161028571,0,0,2,0,15.4,0,0,0,0,0,Hadoop Common
